Recording,Treatment,Stimulus intensity (mA),Response amplitude (mV),Response latency (ms)
1,Control,0.5,1.8,12.4
2,Control,1,3.2,11.7
3,Control,1.5,4.5,11.1
4,Control,2,5.4,10.8
5,Control,2.5,6.1,10.5
6,Control,3,6.8,10.2
7,Drug,0.5,1.5,13.1
8,Drug,1,2.5,12.8
9,Drug,1.5,3.5,12
10,Drug,2,4.1,11.8
11,Drug,2.5,4.8,11.4
12,Drug,3,5.2,11.2
13,Control,1,3,11.9
14,Control,2,5.7,10.6
15,Drug,1,2.8,12.5
16,Drug,2,4.4,11.6
17,Control,1.5,4.1,11.3
18,Drug,1.5,3.8,12.2
19,Control,2.5,6.4,10.3
20,Drug,2.5,5,11.5
